"","nct_number","recruitment","interventions","gender","study_type","city","state_name","phase","cleaned_age","state_code","location","lat","lng"
"2760","NCT00087789","Completed","Genetic","All","Interventional","San Diego","California","Phase 1","Adult, Senior","CA","San Diego , CA","32.715738","-117.1610838"
"2894","NCT00663936","Completed","Drug","All","Interventional","Phoenix","Arizona","Phase 2","Adult, Senior","AZ","Phoenix , AZ","33.4483771","-112.0740373"
"3107","NCT02079909","Completed","Drug","All","Interventional","Phoenix","Arizona","Phase 2","Adult, Senior","AZ","Phoenix , AZ","33.4483771","-112.0740373"
"3320","NCT02565511","Recruiting","Biological","All","Interventional","Phoenix","Arizona","Phase 2","Adult, Senior","AZ","Phoenix , AZ","33.4483771","-112.0740373"
"3533","NCT00381238","Completed","Drug","All","Interventional","Litchfield Park","Arizona","Phase 2","Adult, Senior","AZ","Litchfield Park , AZ","33.4933743","-112.3579364"
"3538","NCT00040378","Unknown status","Drug","Male","Interventional","Birmingham","Alabama","Phase 3","Adult, Senior","AL","Birmingham , AL","33.5206608","-86.80249"
"3593","NCT01406145","Completed","Drug","All","Interventional","San Diego","California","Phase 1","Adult, Senior","CA","San Diego , CA","32.715738","-117.1610838"
"3727","NCT01767311","Active, not recruiting","Drug","All","Interventional","Birmingham","Alabama","Phase 2","Adult, Senior","AL","Birmingham , AL","33.5206608","-86.80249"
"3782","NCT00000178","Completed","Drug","All","Interventional","Birmingham","Alabama","Phase 3","Child, Adult, Senior","AL","Birmingham , AL","33.5206608","-86.80249"
"3837","NCT00053599","Completed","Drug","All","Interventional","Birmingham","Alabama","Phase 3","Adult, Senior","AL","Birmingham , AL","33.5206608","-86.80249"
"3892","NCT01966666","Active, not recruiting","Drug","All","Interventional","San Francisco","California","Phase 1","Adult, Senior","CA","San Francisco , CA","37.7749295","-122.4194155"
"4019","NCT00094952","Unknown status","Not available","All","Observational","New York","New York","Not available","Adult, Senior","NY","New York , NY","40.7127753","-74.0059728"
"4255","NCT00414622","Completed","Drug","All","Interventional","280 South San Francisco","California","Phase 2","Adult, Senior","CA","280 South San Francisco , CA","37.6380589","-122.4404684"
"4256","NCT00089882","Completed","Procedure","All","Observational","Washington","District of Columbia","Not available","Adult, Senior","DC","Washington , DC","38.9071923","-77.0368707"
"4313","NCT00675623","Completed","Drug","All","Interventional","Phoenix","Arizona","Phase 3","Adult, Senior","AZ","Phoenix , AZ","33.4483771","-112.0740373"
"4526","NCT01058941","Completed","Drug","All","Interventional","Portland","Oregon","Phase 1","Adult, Senior","OR","Portland , OR","45.5230622","-122.6764815"
"4646","NCT01311492","Completed","Behavioral","All","Interventional","Baton Rouge","Louisiana","Not available","Adult, Senior","LA","Baton Rouge , LA","30.4582829","-91.1403196"
"4662","NCT00063310","Completed","Drug","Female","Interventional","Sun City","Arizona","Phase 2","Adult, Senior","AZ","Sun City , AZ","33.5975393","-112.2718239"
"4763","NCT00710684","Completed","Drug","All","Interventional","Litchfield Park","Arizona","Phase 2","Adult, Senior","AZ","Litchfield Park , AZ","33.4933743","-112.3579364"
"4768","NCT00065767","Completed","Drug","Female","Interventional","Madison","Wisconsin","Phase 2","Adult, Senior","WI","Madison , WI","43.0730517","-89.4012302"
"4815","NCT01841905","Active, not recruiting","Other","All","Observational","Providence","Rhode Island","Not available","Adult, Senior","RI","Providence , RI","41.8239891","-71.4128343"
"4906","NCT00973518","Completed","Not available","All","Observational","Chicago","Illinois","Not available","Adult, Senior","IL","Chicago , IL","41.8781136","-87.6297982"
"5009","NCT02292238","Recruiting","Drug","All","Interventional","White Plains","New York","Phase 2","Adult, Senior","NY","White Plains , NY","41.0339862","-73.7629097"
"5026","NCT00593372","Completed","Behavioral","All","Interventional","Little Rock","Arkansas","Phase 1","Adult, Senior","AR","Little Rock , AR","34.7464809","-92.2895948"
"5064","NCT00006399","Completed","Drug","Female","Interventional","Burlington","Vermont","Phase 2","Adult, Senior","VT","Burlington , VT","44.4758825","-73.212072"
"5079","NCT00476008","Completed","Drug","All","Interventional","Boca Raton","Florida","Phase 4","Adult, Senior","FL","Boca Raton , FL","26.3683064","-80.1289321"
"5126","NCT02586909","Enrolling by invitation","Drug","All","Interventional","Phoenix","Arizona","Phase 3","Adult, Senior","AZ","Phoenix , AZ","33.4483771","-112.0740373"
"5339","NCT00722046","Completed","Biological","All","Interventional","Peoria","Arizona","Phase 2","Adult, Senior","AZ","Peoria , AZ","33.5805955","-112.2373779"
"5353","NCT00059410","Completed","Not available","All","Observational","Boston","Massachusetts","Not available","Child, Adult, Senior","MA","Boston , MA","42.3600825","-71.0588801"
"5482","NCT02615002","Recruiting","Drug","All","Interventional","Tucson","Arizona","Phase 2","Adult, Senior","AZ","Tucson , AZ","32.2217429","-110.926479"
"5558","NCT00277810","Completed","Drug","All","Interventional","Phoenix","Arizona","Phase 2","Adult, Senior","AZ","Phoenix , AZ","33.4483771","-112.0740373"
"5771","NCT00454870","Completed","Drug","All","Interventional","Phoenix","Arizona","Phase 2","Adult, Senior","AZ","Phoenix , AZ","33.4483771","-112.0740373"
"5984","NCT01227564","Completed","Biological","All","Interventional","Phoenix","Arizona","Phase 2","Adult, Senior","AZ","Phoenix , AZ","33.4483771","-112.0740373"
"6197","NCT00711204","Withdrawn","Drug","All","Interventional","Toledo","Ohio","Phase 4","Adult, Senior","OH","Toledo , OH","41.6639383","-83.555212"
"6236","NCT01560585","Terminated","Drug","All","Interventional","Beachwood","Ohio","Phase 1","Adult, Senior","OH","Beachwood , OH","41.4644979","-81.5087322"
"6259","NCT00018473","Completed","Not available","All","Observational","Bedford","Massachusetts","Not available","Child, Adult, Senior","MA","Bedford , MA","42.4906231","-71.2760089"
"6265","NCT00000172","Completed","Drug","All","Interventional","Birmingham","Alabama","Phase 3","Child, Adult, Senior","AL","Birmingham , AL","33.5206608","-86.80249"
"6320","NCT03269149","Recruiting","Other","Female","Interventional","Atlanta","Georgia","Not available","Adult","GA","Atlanta , GA","33.7489954","-84.3879824"
"6456","NCT01322373","Unknown status","Not available","All","Observational","Minneapolis","Minnesota","Not available","Adult, Senior","MN","Minneapolis , MN","44.977753","-93.2650108"
"6478","NCT01870453","Unknown status","Not available","All","Observational","Boston","Massachusetts","Not available","Child, Adult, Senior","MA","Boston , MA","42.3600825","-71.0588801"
"6607","NCT01126099","Completed","Drug","All","Interventional","Seattle","Washington","Not available","Child, Adult, Senior","WA","Seattle , WA","47.6062095","-122.3320708"
"6673","NCT00015548","Completed","Drug","All","Interventional","Tuscaloosa","Alabama","Not available","Child, Adult, Senior","AL","Tuscaloosa , AL","33.2098407","-87.5691735"
"6682","NCT00093951","Completed","Drug","All","Interventional","Phoenix","Arizona","Phase 2","Adult, Senior","AZ","Phoenix , AZ","33.4483771","-112.0740373"
"6895","NCT00094913","Unknown status","Not available","All","Observational","New York City","New York","Not available","Adult, Senior","NY","New York City , NY","40.7127753","-74.0059728"
"6902","NCT00678431","Completed","Dietary Supplement","All","Interventional","Bronx","New York","Phase 3","Adult, Senior","NY","Bronx , NY","40.8447819","-73.8648268"
"6910","NCT02916056","Enrolling by invitation","Drug","All","Interventional","Phoenix","Arizona","Phase 3","Adult, Senior","AZ","Phoenix , AZ","33.4483771","-112.0740373"
"7123","NCT01409915","Active, not recruiting","Drug","All","Interventional","Aurora","Colorado","Phase 2","Adult, Senior","CO","Aurora , CO","39.7294319","-104.8319195"
"7129","NCT01504854","Completed","Drug","All","Interventional","Phoenix","Arizona","Phase 2","Adult, Senior","AZ","Phoenix , AZ","33.4483771","-112.0740373"
"7342","NCT00842673","Completed","Drug","All","Interventional","Costa Mesa","California","Phase 2","Adult, Senior","CA","Costa Mesa , CA","33.6412156","-117.9188221"
"7402","NCT00982202","Completed","Drug","All","Interventional","Cleveland","Ohio","Phase 2","Adult, Senior","OH","Cleveland , OH","41.49932","-81.6943605"
"7458","NCT01314950","Completed","Behavioral","All","Interventional","Indianapolis","Indiana","Not available","Adult, Senior","IN","Indianapolis , IN","39.768403","-86.158068"
"7576","NCT02045056","Active, not recruiting","Drug","All","Interventional","Lexington","Kentucky","Early Phase 1","Adult, Senior","KY","Lexington , KY","38.0405837","-84.5037164"
"7641","NCT00039702","Completed","Drug","All","Observational","Bethesda","Maryland","Not available","Child, Adult, Senior","MD","Bethesda , MD","38.984652","-77.0947092"
"7668","NCT02080364","Active, not recruiting","Drug","All","Interventional","Phoenix","Arizona","Phase 3","Adult, Senior","AZ","Phoenix , AZ","33.4483771","-112.0740373"
"7881","NCT00838110","Completed","Drug","All","Interventional","Mobile","Alabama","Phase 3","Adult, Senior","AL","Mobile , AL","30.6953657","-88.0398912"
"7883","NCT00842816","Completed","Drug","All","Interventional","Tucson","Arizona","Phase 2","Adult, Senior","AZ","Tucson , AZ","32.2217429","-110.926479"
"7959","NCT00097916","Completed","Drug","All","Interventional","San Francisco","California","Phase 3","Adult, Senior","CA","San Francisco , CA","37.7749295","-122.4194155"
"8086","NCT01374438","Completed","Drug","All","Interventional","Chicago","Illinois","Phase 2","Adult, Senior","IL","Chicago , IL","41.8781136","-87.6297982"
"8189","NCT00666445","Completed","Not available","All","Observational","Minneapolis","Minnesota","Not available","Adult, Senior","MN","Minneapolis , MN","44.977753","-93.2650108"
"8211","NCT00062569","Completed","Behavioral","All","Interventional","Chestnut Hill","Massachusetts","Not available","Adult, Senior","MA","Chestnut Hill , MA","42.3303798","-71.166187"
"8214","NCT01439555","Active, not recruiting","Drug","All","Interventional","Worcester","Massachusetts","Phase 2","Adult, Senior","MA","Worcester , MA","42.2625932","-71.8022934"
"8218","NCT00930059","Completed","Drug","All","Interventional","Northport","Alabama","Phase 2","Adult, Senior","AL","Northport , AL","33.229007","-87.5772293"
"8224","NCT00205179","Completed","Drug","All","Interventional","Madison","Wisconsin","Phase 2","Adult, Senior","WI","Madison , WI","43.0730517","-89.4012302"
"8271","NCT00088387","Completed","Drug","All","Interventional","Bethesda","Maryland","Phase 2","Child, Adult, Senior","MD","Bethesda , MD","38.984652","-77.0947092"
"8298","NCT03289143","Recruiting","Drug","All","Interventional","Atlantis","Florida","Phase 2","Adult, Senior","FL","Atlantis , FL","26.5909025","-80.1008762"
"8334","NCT02925650","Recruiting","Drug","All","Interventional","La Jolla","California","Phase 1","Adult, Senior","CA","La Jolla , CA","32.8328112","-117.2712717"
"8392","NCT02585934","Completed","Drug","All","Interventional","Phoenix","Arizona","Phase 3","Adult, Senior","AZ","Phoenix , AZ","33.4483771","-112.0740373"
"8605","NCT00265148","Completed","Drug","All","Interventional","Litchfield Park","Arizona","Phase 2","Adult, Senior","AZ","Litchfield Park , AZ","33.4933743","-112.3579364"
"8610","NCT00013650","Completed","Drug","All","Interventional","Bethesda","Maryland","Phase 1","Adult, Senior","MD","Bethesda , MD","38.984652","-77.0947092"
"8637","NCT01689233","Completed","Drug","All","Interventional","Phoenix","Arizona","Phase 3","Child, Adult, Senior","AZ","Phoenix , AZ","33.4483771","-112.0740373"
"8850","NCT02956486","Recruiting","Drug","All","Interventional","Costa Mesa","California","Phase 3","Adult, Senior","CA","Costa Mesa , CA","33.6412156","-117.9188221"
"8910","NCT03036280","Recruiting","Drug","All","Interventional","Phoenix","Arizona","Phase 3","Adult, Senior","AZ","Phoenix , AZ","33.4483771","-112.0740373"
"9123","NCT01689246","Completed","Drug","All","Interventional","Phoenix","Arizona","Phase 3","Child, Adult, Senior","AZ","Phoenix , AZ","33.4483771","-112.0740373"
"9336","NCT00018343","Completed","Drug","Female","Interventional","Lakewood","Washington","Phase 2","Adult, Senior","WA","Lakewood , WA","47.1717649","-122.518458"
"9337","NCT00106899","Completed","Procedure","All","Observational","Birmingham","Alabama","Not available","Adult, Senior","AL","Birmingham , AL","33.5206608","-86.80249"
"9392","NCT00230568","Completed","Drug","All","Interventional","Phoenix","Arizona","Phase 4","Adult, Senior","AZ","Phoenix , AZ","33.4483771","-112.0740373"
"9605","NCT03300180","Not yet recruiting","Behavioral","All","Interventional","Indianapolis","Indiana","Not available","Adult, Senior","IN","Indianapolis , IN","39.768403","-86.158068"
"9723","NCT01128361","Completed","Behavioral","All","Interventional","Kansas City","Kansas","Not available","Adult, Senior","KS","Kansas City , KS","39.114053","-94.6274636"
"9764","NCT00596024","Unknown status","Dietary Supplement","All","Interventional","Portland","Oregon","Phase 2","Adult, Senior","OR","Portland , OR","45.5230622","-122.6764815"
"9884","NCT00120874","Completed","Behavioral","All","Interventional","New York","New York","Phase 4","Adult, Senior","NY","New York , NY","40.7127753","-74.0059728"
"10120","NCT00235716","Completed","Drug","All","Interventional","Bay Pines","Florida","Phase 3","Adult, Senior","FL","Bay Pines , FL","27.8092229","-82.7751622"
"10121","NCT03101085","Recruiting","Drug","All","Interventional","Fairway","Kansas","Phase 1","Adult, Senior","KS","Fairway , KS","39.0222277","-94.6319018"
"10133","NCT01284387","Completed","Biological","All","Interventional","Sun City","Arizona","Phase 2","Adult, Senior","AZ","Sun City , AZ","33.5975393","-112.2718239"
"10234","NCT00348309","Completed","Drug","All","Interventional","Litchfield Park","Arizona","Not available","Adult, Senior","AZ","Litchfield Park , AZ","33.4933743","-112.3579364"
"10239","NCT02033941","Recruiting","Drug","All","Interventional","New York","New York","Phase 2","Child, Adult, Senior","NY","New York , NY","40.7127753","-74.0059728"
"10475","NCT02880956","Recruiting","Drug","All","Interventional","Phoenix","Arizona","Phase 2","Adult, Senior","AZ","Phoenix , AZ","33.4483771","-112.0740373"
"10688","NCT00551161","Completed","Drug","All","Interventional","Manhasset","New York","Phase 4","Adult, Senior","NY","Manhasset , NY","40.7978787","-73.6995749"
"10696","NCT00104442","Completed","Drug","All","Interventional","East Hanover","New Jersey","Phase 4","Adult, Senior","NJ","East Hanover , NJ","40.8200623","-74.3647247"
"10697","NCT02142777","Completed","Drug","Female","Interventional","Kansas City","Kansas","Phase 1","Adult, Senior","KS","Kansas City , KS","39.114053","-94.6274636"
"10738","NCT02547818","Recruiting","Drug","All","Interventional","Phoenix","Arizona","Phase 3","Adult, Senior","AZ","Phoenix , AZ","33.4483771","-112.0740373"
"10951","NCT01082965","Terminated","Drug","All","Interventional","San Francisco","California","Not available","Adult, Senior","CA","San Francisco , CA","37.7749295","-122.4194155"
"11078","NCT00369603","Terminated","Drug","All","Interventional","Durham","North Carolina","Phase 4","Adult, Senior","NC","Durham , NC","35.9940329","-78.898619"
"11144","NCT02912169","Recruiting","Procedure","All","Interventional","Aventura","Florida","Phase 1","Adult, Senior","FL","Aventura , FL","25.9564812","-80.1392121"
"11149","NCT02884492","Recruiting","Drug","All","Interventional","New York","New York","Phase 2","Adult, Senior","NY","New York , NY","40.7127753","-74.0059728"
"11385","NCT00876863","Active, not recruiting","Genetic","All","Interventional","Birmingham","Alabama","Phase 2","Adult, Senior","AL","Birmingham , AL","33.5206608","-86.80249"
"11440","NCT00384423","Completed","Drug","All","Interventional","Paramount","California","Phase 2","Adult, Senior","CA","Paramount , CA","33.8894598","-118.1597911"
"11443","NCT02719834","Recruiting","Drug","All","Observational","Gainesville","Florida","Not available","Adult, Senior","FL","Gainesville , FL","29.6516344","-82.3248262"
"11453","NCT02245737","Active, not recruiting","Drug","All","Interventional","Phoenix","Arizona","Phase 2","Adult, Senior","AZ","Phoenix , AZ","33.4483771","-112.0740373"
"11666","NCT02319681","Withdrawn","Behavioral","All","Interventional","Atlanta","Georgia","Not available","Adult, Senior","GA","Atlanta , GA","33.7489954","-84.3879824"
"11802","NCT00606164","Unknown status","Drug","All","Interventional","Morgantown","West Virginia","Phase 2","Adult, Senior","WV","Morgantown , WV","39.629526","-79.9558968"
"11803","NCT00017940","Completed","Genetic","All","Interventional","La Jolla","California","Phase 1","Adult, Senior","CA","La Jolla , CA","32.8328112","-117.2712717"
"11861","NCT02580305","Recruiting","Drug","All","Interventional","Phoenix","Arizona","Phase 2","Adult, Senior","AZ","Phoenix , AZ","33.4483771","-112.0740373"
"12074","NCT00581867","Completed","Drug","All","Interventional","Kansas City","Kansas","Phase 1","Adult, Senior","KS","Kansas City , KS","39.114053","-94.6274636"
"12115","NCT02414347","Recruiting","Drug","All","Interventional","Saint Louis","Missouri","Phase 2","Adult, Senior","MO","Saint Louis , MO","38.6270025","-90.1994042"
"12161","NCT00571025","Completed","Behavioral","All","Interventional","Boston","Massachusetts","Not available","Adult, Senior","MA","Boston , MA","42.3600825","-71.0588801"
"12290","NCT03131453","Recruiting","Drug","All","Interventional","Phoenix","Arizona","Phase 2","Adult, Senior","AZ","Phoenix , AZ","33.4483771","-112.0740373"
"12503","NCT00348140","Completed","Drug","All","Interventional","Sun City","Arizona","Phase 3","Adult, Senior","AZ","Sun City , AZ","33.5975393","-112.2718239"
"12604","NCT00117403","Completed","Drug","All","Interventional","Tucson","Arizona","Phase 1","Adult, Senior","AZ","Tucson , AZ","32.2217429","-110.926479"
"12680","NCT00083421","Completed","Drug","All","Interventional","Birmingham","Alabama","Phase 2","Adult, Senior","AL","Birmingham , AL","33.5206608","-86.80249"
"12735","NCT00580931","Completed","Drug","All","Interventional","Irvine","California","Phase 1","Adult, Senior","CA","Irvine , CA","33.6845673","-117.8265049"
"12803","NCT00018382","Completed","Drug","All","Interventional","Seattle","Washington","Phase 2","Adult, Senior","WA","Seattle , WA","47.6062095","-122.3320708"
"12869","NCT00013923","Completed","Drug","All","Interventional","White Plains","New York","Phase 2","Adult, Senior","NY","White Plains , NY","41.0339862","-73.7629097"
"12886","NCT00018278","Completed","Drug","All","Interventional","San Diego","California","Phase 4","Adult, Senior","CA","San Diego , CA","32.715738","-117.1610838"
"13020","NCT02240693","Active, not recruiting","Drug","All","Interventional","Orange","California","Phase 2","Adult, Senior","CA","Orange , CA","33.7879139","-117.8531007"
"13066","NCT00477659","Completed","Drug","All","Interventional","Milwaukee","Wisconsin","Phase 4","Adult, Senior","WI","Milwaukee , WI","43.0389025","-87.9064736"
"13094","NCT00004845","Completed","Drug","All","Interventional","Phoenix","Arizona","Phase 2","Adult, Senior","AZ","Phoenix , AZ","33.4483771","-112.0740373"
"13307","NCT01617577","Completed","Drug","All","Interventional","Tampa","Florida","Phase 1","Adult, Senior","FL","Tampa , FL","27.950575","-82.4571776"
"13488","NCT03290326","Recruiting","Device","All","Interventional","Boston","Massachusetts","Not available","Adult, Senior","MA","Boston , MA","42.3600825","-71.0588801"
"13617","NCT00698165","Completed","Not available","All","Observational","Northport","Alabama","Not available","Child, Adult, Senior","AL","Northport , AL","33.229007","-87.5772293"
"13623","NCT01428362","Completed","Drug","All","Interventional","San Francisco","California","Phase 2","Adult, Senior","CA","San Francisco , CA","37.7749295","-122.4194155"
"13750","NCT02769234","Enrolling by invitation","Procedure","All","Observational","West Palm Beach","Florida","Not available","Adult, Senior","FL","West Palm Beach , FL","26.7153424","-80.0533746"
"13857","NCT00334906","Completed","Drug","All","Interventional","Jersey City","New Jersey","Phase 4","Adult, Senior","NJ","Jersey City , NJ","40.7281575","-74.0776417"
"13858","NCT00904683","Completed","Drug","All","Interventional","Tucson","Arizona","Phase 3","Adult, Senior","AZ","Tucson , AZ","32.2217429","-110.926479"
"13934","NCT00105105","Terminated","Drug","All","Interventional","Mesa","Arizona","Phase 2","Child, Adult, Senior","AZ","Mesa , AZ","33.4151843","-111.8314724"
"13942","NCT00934050","Completed","Drug","All","Interventional","Phoenix","Arizona","Phase 2","Child, Adult, Senior","AZ","Phoenix , AZ","33.4483771","-112.0740373"
"14155","NCT00142805","Completed","Drug","All","Interventional","Phoenix","Arizona","Phase 2","Adult, Senior","AZ","Phoenix , AZ","33.4483771","-112.0740373"
"14368","NCT00568776","Completed","Drug","All","Interventional","Phoenix","Arizona","Phase 2","Adult, Senior","AZ","Phoenix , AZ","33.4483771","-112.0740373"
"14581","NCT02560753","Active, not recruiting","Drug","All","Interventional","Delray Beach","Florida","Phase 1","Adult, Senior","FL","Delray Beach , FL","26.4614625","-80.0728201"
"14675","NCT00818662","Completed","Biological","All","Interventional","Birmingham","Alabama","Phase 3","Adult, Senior","AL","Birmingham , AL","33.5206608","-86.80249"
"14730","NCT00829374","Completed","Drug","All","Interventional","Phoenix","Arizona","Phase 3","Adult, Senior","AZ","Phoenix , AZ","33.4483771","-112.0740373"
"14943","NCT00191009","Completed","Drug","All","Interventional","Sherman Oaks","California","Phase 2","Adult, Senior","CA","Sherman Oaks , CA","34.1489719","-118.451357"
"14969","NCT01900665","Terminated","Drug","All","Interventional","Phoenix","Arizona","Phase 3","Adult, Senior","AZ","Phoenix , AZ","33.4483771","-112.0740373"
"15182","NCT00594568","Completed","Drug","All","Interventional","Birmingham","Alabama","Phase 3","Adult, Senior","AL","Birmingham , AL","33.5206608","-86.80249"
"15237","NCT03274817","Recruiting","Drug","All","Interventional","New York","New York","Phase 1","Adult, Senior","NY","New York , NY","40.7127753","-74.0059728"
"15473","NCT01559220","Completed","Device","All","Interventional","Columbus","Ohio","Not available","Adult, Senior","OH","Columbus , OH","39.9611755","-82.9987942"
"15538","NCT00428090","Completed","Drug","All","Interventional","Phoenix","Arizona","Phase 3","Adult, Senior","AZ","Phoenix , AZ","33.4483771","-112.0740373"
"15751","NCT02359552","Recruiting","Drug","All","Interventional","Las Vegas","Nevada","Phase 2","Adult, Senior","NV","Las Vegas , NV","36.1699412","-115.1398296"
"15831","NCT00905372","Completed","Drug","All","Interventional","Phoenix","Arizona","Phase 3","Adult, Senior","AZ","Phoenix , AZ","33.4483771","-112.0740373"
"16044","NCT01127633","Terminated","Drug","All","Interventional","Phoenix","Arizona","Phase 3","Adult, Senior","AZ","Phoenix , AZ","33.4483771","-112.0740373"
"16257","NCT00409279","Unknown status","Behavioral","All","Interventional","New York","New York","Not available","Adult, Senior","NY","New York , NY","40.7127753","-74.0059728"
"16493","NCT02359864","Recruiting","Radiation","All","Interventional","Royal Oak","Michigan","Phase 1","Adult, Senior","MI","Royal Oak , MI","42.4894801","-83.1446485"
"16496","NCT01736579","Terminated","Drug","All","Interventional","Rochester","New York","Phase 3","Adult, Senior","NY","Rochester , NY","43.16103","-77.6109219"
"16588","NCT00408525","Unknown status","Drug","All","Interventional","Nashville","Tennessee","Phase 1","Adult, Senior","TN","Nashville , TN","36.1626638","-86.7816016"
"16625","NCT00566501","Completed","Drug","All","Interventional","Santa Ana","California","Phase 3","Adult, Senior","CA","Santa Ana , CA","33.7454725","-117.867653"
"16668","NCT01864655","Completed","Drug","All","Interventional","New Haven","Connecticut","Phase 1","Adult, Senior","CT","New Haven , CT","41.308274","-72.9278835"
"16833","NCT01565343","Completed","Drug","All","Interventional","New Haven","Connecticut","Phase 1","Adult, Senior","CT","New Haven , CT","41.308274","-72.9278835"
"16998","NCT00056225","Completed","Drug","All","Interventional","Birmingham","Alabama","Phase 3","Adult, Senior","AL","Birmingham , AL","33.5206608","-86.80249"
"17053","NCT02792257","Recruiting","Drug","All","Interventional","Baltimore","Maryland","Phase 2","Adult, Senior","MD","Baltimore , MD","39.2903848","-76.6121893"
"17155","NCT01524887","Terminated","Biological","All","Interventional","Birmingham","Alabama","Phase 3","Adult, Senior","AL","Birmingham , AL","33.5206608","-86.80249"
"17210","NCT03277573","Recruiting","Drug","All","Interventional","San Diego","California","Phase 1","Adult, Senior","CA","San Diego , CA","32.715738","-117.1610838"
"17344","NCT00255086","Completed","Drug","All","Interventional","Palo Alto","California","Phase 3","Adult, Senior","CA","Palo Alto , CA","37.4418834","-122.1430195"
