"nct_number","locnum","state","city","institution"
"NCT00000177",12," Massachusetts"," Boston","Massachusetts General Hospital"
"NCT00000177",13," Minnesota"," Minneapolis","University of Minnesota"
"NCT00000177",14," Minnesota"," Rochester","Mayo Clinic"
"NCT00000177",15," Missouri"," St. Louis","Washington University"
"NCT00000177",16," New York"," New York","New York University Medical Center"
"NCT00000177",17," New York"," New York","Mount Sinai School of Medicine"
"NCT00000177",18," New York"," New York","Columbia Presbyterian Medical Center"
"NCT00000177",19," New York"," White Plains","Burke Medical Research Institute"
"NCT00000177",20," Ohio"," Cleveland","University Hospitals of Cleveland"
"NCT00000177",21," Pennsylvania"," Philadelphia","University of Pennsylvania"
"NCT00000177",22," Pennsylvania"," Pittsburgh","University of Pittsburgh"
"NCT00000177",23," Texas"," Dallas","University of Texas"
"NCT00000177",24," Texas"," Houston","Baylor College of Medicine"
"NCT00000177",25," Washington"," Seattle","University of Washington"
"NCT00000178",1," Alabama"," Birmingham"," Birmingham,University of Alabama"
"NCT00000178",2," California"," Los Angeles","University of Southern California"
"NCT00000178",3," California"," San Diego"," San Diego,University of California"
"NCT00000178",4," Florida"," Jacksonville","Mayo Clinic Jacksonville"
"NCT00000178",5," Florida"," Miami","University of Miami"
"NCT00000178",6," Florida"," Tampa","University of South Florida"
"NCT00000178",7," Indiana"," Indianapolis","Indiana University Alzheimer's Center"
"NCT00000178",8," Kansas"," Kansas City","University of Kansas Medical Center"
"NCT00000178",9," Maryland"," Baltimore","Johns Hopkins University"
"NCT00000178",10," Minnesota"," Minneapolis","University of Minnesota"
"NCT00000178",11," Missouri"," St. Louis","Washington University"
"NCT00000178",12," New York"," New York","New York University Medical Center"
"NCT00000178",13," New York"," New York","Mount Sinai Medical Center"
"NCT00000178",14," New York"," New York","Columbia Presbyterian Medical Center"
"NCT00000178",15," New York"," Rochester","University of Rochester"
"NCT00000178",16," New York"," White Plains","Burke Medical Research Institute"
"NCT00000178",17," Pennsylvania"," Pittsburgh","University of Pittsburgh"
"NCT00000178",18," Tennessee"," Nashville","Vanderbilt University Medical Center"
"NCT00000178",19," Texas"," Dallas","University of Texas"
"NCT00000179",1," California"," Los Angeles"," Los Angeles,University of California"
"NCT00000179",2," California"," San Diego"," San Diego,University of California"
"NCT00000179",3," Florida"," Miami","University of Miami"
"NCT00000179",4," Florida"," Tampa","University of South Florida"
"NCT00000179",5," Georgia"," Atlanta","Emory University"
"NCT00000179",6," Illinois"," Springfield","Southern Illinois University"
"NCT00000179",7," Kansas"," Kansas City","University of Kansas Medical Center"
"NCT00000179",8," Kentucky"," Lexington","University of Kentucky"
"NCT00000179",9," Massachusetts"," Worcester","University of Massachusetts"
"NCT00000179",10," Michigan"," Ann Arbor","University of Michigan"
"NCT00000179",11," Minnesota"," Minneapolis","University of Minnesota"
"NCT00000179",12," New York"," New York","New York University Medical Center"
"NCT00000179",13," New York"," New York","Mount Sinai Medical Center"
"NCT00000179",14," New York"," Rochester","University of Rochester"
"NCT00000179",15," Ohio"," Cleveland","University Hospitals of Cleveland"
"NCT00000179",16," Oregon"," Portland","Oregon Health Sciences University"
"NCT00001178",1," Maryland"," Bethesda"," 9000 Rockville Pike,National Institutes of Health Clinical Center"
"NCT00001235",1," Maryland"," Bethesda","National Institute of Neurological Disorders and Stroke (NINDS)"
"NCT00001480",1," District of Columbia"," D.C."," Washington,Catholic University of America"
"NCT00001480",2," Pennsylvania"," Pittsburgh","University of Pittsburgh"
"NCT00001549",1," Maryland"," Bethesda","National Institute of Neurological Disorders and Stroke (NINDS)"
"NCT00001662",1," Maryland"," Bethesda","National Institute of Neurological Disorders and Stroke (NINDS)"
"NCT00001917",1," Maryland"," Bethesda","National Institute of Mental Health (NIMH)"
"NCT00001933",1," Maryland"," Bethesda","National Institute of Neurological Disorders and Stroke (NINDS)"
"NCT00001972",1," Maryland"," Bethesda","National Institute of Neurological Disorders and Stroke (NINDS)"
"NCT00001977",1," Maryland"," Bethesda","National Institute of Mental Health (NIMH)"
"NCT00004845",1," Arizona"," Phoenix","Barrow Neurological Group"
"NCT00004845",2," Arizona"," Tucson"," Tucson,University of Arizona"
"NCT00004845",3," California"," Irvine","University of California Irvine Institute for Brain Aging and Dementia"
"NCT00004845",4," California"," La Jolla"," San Diego,University of California"
"NCT00004845",5," California"," Los Angeles","University of Southern California"
"NCT00004845",6," California"," Los Angeles"," Los Angeles,University of California"
"NCT00004845",7," California"," Martinez"," Davis,University of California"
"NCT00004845",8," Connecticut"," New Haven"," School of Medicine,Yale University"
"NCT00004845",9," District of Columbia"," Washington","Georgetown University Medical Center"
"NCT00004845",10," Florida"," Boca Raton"," Boca Raton,Baumel-Eisner Neuromedical Institute"
"NCT00004845",11," Florida"," Ft Lauderdale","Baumel-Eisner Ft Lauderdale"
"NCT00004845",12," Florida"," Jacksonville","Mayo Clinic Jacksonville"
"NCT00004845",13," Florida"," Miami Beach","Wein Center"
"NCT00004845",14," Florida"," Miami Beach"," MiamiBeach,Baumel-Eisner Neuromedical Institute"
"NCT00004845",15," Florida"," Tampa","University of South Florida"
"NCT00004845",16," Florida"," West Palm Beach","Premiere Research Institute"
"NCT00004845",17," Georgia"," Atlanta","Emory University"
"NCT00004845",18," Illinois"," Chicago","Rush Presbyterian St. Luke's Medical Center"
"NCT00004845",19," Indiana"," Indianapolis","Indiana University Medical Center"
"NCT00004845",20," Kansas"," Kansas City","Kansas University"
"NCT00004845",21," Kentucky"," Lexington","University of Kentucky"
"NCT00004845",22," Michigan"," Ann Arbor","University of Michigan"
"NCT00004845",23," Minnesota"," Minneapolis","University of Minnesota"
"NCT00004845",24," Missouri"," St. Louis","Washington University"
"NCT00004845",25," Nevada"," Las Vegas","University of Nevada"
"NCT00004845",26," New Jersey"," Summit"," Inc,ClinSearch"
"NCT00004845",27," New York"," New York","New York University Medical Center"
"NCT00004845",28," New York"," New York","Columbia University"
"NCT00004845",29," New York"," Rochester","University of Rochester Medical Center"
"NCT00004845",30," Ohio"," Cleveland","University Hospitals of Cleveland"
"NCT00004845",31," Oregon"," Portland","Oregon Health Sciences University"
"NCT00004845",32," Pennsylvania"," Philadelphia","University of Pennsylvania"
"NCT00004845",33," Pennsylvania"," Pittsburgh","University of Pittsburgh"
"NCT00004845",34," Rhode Island"," Providence","Memorial Hospital of Rhode Island"
"NCT00004845",35," South Carolina"," North Charleston","Medical University of South Carolina"
"NCT00004845",36," Tennessee"," Nashville","Vanderbilt University Medical Center"
"NCT00004845",37," Texas"," Dallas"," SW Medical Center,University of Texas"
"NCT00004845",38," Texas"," Houston","Baylor College of Medicine"
"NCT00004845",39," Vermont"," Bennington","Southwestern Vermont Medical Center"
"NCT00004845",40," Washington"," Seattle","University of Washington"
"NCT00006176",1," Maryland"," Bethesda"," 9000 Rockville Pike,National Institutes of Health Clinical Center"
"NCT00006187",1," Arizona"," Peoria","Pivotal Research Centers"
"NCT00006187",2," California"," Beverly Hills","California Clinical Trials"
"NCT00006187",3," California"," Los Alamitos","Pharmacology Research Institute"
"NCT00006187",4," California"," Newport Beach","Pharmacology Research Institute"
"NCT00006187",5," California"," Northridge","Daniel Grosz MD"
"NCT00006187",6," California"," Riverside","Pharmacology Research Institute"
"NCT00006187",7," California"," San Diego","Pacific Research Network"
"NCT00006187",8," California"," San Francisco","San Francisco Headache Clinic"
"NCT00006187",9," Connecticut"," New Haven"," Alzheimer's Disease ResearchUnit,Yale University"
"NCT00006187",10," Connecticut"," Stamford","New England Center for Headache"
"NCT00006187",11," Florida"," Boca Raton","Baumel-Eisner Neuromedical Institute"
"NCT00006187",12," Florida"," Fort Myers","ICSL Clinical Studies"
"NCT00006187",13," Florida"," Ft Lauderdale","Baumel-Eisner Neuromedical Institute"
"NCT00006187",14," Florida"," Melbourne","ICSL Clinical Studies"
"NCT00006187",15," Florida"," Sarasota","ICSL Clinical Studies"
"NCT00006187",16," Florida"," St Petersburg","ICSL Clinical Studies"
"NCT00006187",17," Florida"," St Petersburg","Meridien Research"
"NCT00006187",18," Florida"," West Palm Beach","Premiere Research Institute"
"NCT00006187",19," Florida"," West Palm Beach","Palm Beach Neurological Center"
"NCT00006187",20," Illinois"," Chicago","Chicago Center for Clinical Research"
"NCT00006187",21," Massachusetts"," South Yarmouth","ICSL Clinical Studies"
"NCT00006187",22," Nevada"," Las Vegas","Las Vegas Center for Clinical Research"
"NCT00006187",23," New York"," Orangeburg","Nathan Klein Institute"
"NCT00006187",24," New York"," Rochester","University of Rochester"
"NCT00006187",25," North Carolina"," Winston-Salem","Piedmont Medical Research Associates"
"NCT00006187",26," Oklahoma"," Oklahoma City"," P.C.,Pahl Brain Associates"
"NCT00006187",27," Oklahoma"," Tulsa","Clinical Pharmaceutical Trials"
"NCT00006187",28," Oregon"," Portland","Pacific NW Clinical Research Center"
"NCT00006187",29," Pennsylvania"," Elkins Park","Institute for Advanced Clinical Research"
"NCT00006187",30," Pennsylvania"," Philadelphia","ICSL Clinical Studies"
"NCT00006187",31," Rhode Island"," East Providence","ICSL Clinical Studies"
"NCT00006187",32," Utah"," Salt Lake City","Pharmacology Research Clinic"
"NCT00006187",33," Washington"," Seattle","Seattle Clinical Research Center"
"NCT00006187",34," Wisconsin"," Milwaukee","Froedtert Lutheran Memorial Hospital"
"NCT00006399",1," Vermont"," Burlington"," University of Vermont,Clinical Neuroscience Research Unit"
"NCT00007189",1," Arizona"," Sun City","Sun Health Research Institute"
"NCT00007189",2," Florida"," Tampa"," 10770 N. 46th Street,Roskamp Institute Memory Clinic"
"NCT00007189",3," Maryland"," Baltimore","Johns Hopkins University"
"NCT00007189",4," Massachusetts"," Boston","Boston University School of Medicine"
"NCT00007189",5," New York"," Rochester","University of Rochester"
"NCT00007189",6," Washington"," Seattle"," University of Washington,Veterans Affairs Puget Sound Health Care System"
"NCT00009191",1," Maryland"," Baltimore","Johns Hopkins University"
"NCT00009204",1," Pennsylvania"," Pittsburgh","University of Pittsburgh Western Psychiatric Institute and Clinic"
"NCT00009217",1," New York"," New York","New York State Psychiatric Institute"
"NCT00010803",1," California"," Sacramento"," Davis,University of California"
"NCT00010803",2," Maryland"," Baltimore","Johns Hopkins University"
"NCT00010803",3," North Carolina"," Winston-Salem","Wake Forest University School of Medicine"
"NCT00010803",4," Pennsylvania"," Pittsburgh","University of Pittsburgh"
"NCT00010803",5," Virginia"," Charlottesville","University of Pittsburgh/University of Virginia"
"NCT00012831",1," Minnesota"," Minneapolis"," MN, Minneapolis,Minneapolis VA Health Care System"
"NCT00012857",1," California"," Palo Alto"," CA, Palo Alto,VA Palo Alto Health Care System"
"NCT00013182",1," Arkansas"," No. Little Rock"," AR, Little Rock,Central Arkansas Veterans Healthcare System Eugene J. Towbin Healthcare Center"
"NCT00013650",1," Maryland"," Bethesda"," 9000 Rockville Pike,National Institutes of Health Clinical Center"
"NCT00013923",1," New York"," White Plains","Burke Medical Research Institute"
"NCT00015548",1," Alabama"," Tuscaloosa","Tuscaloosa VA Medical Center"
"NCT00015548",2," California"," Irvine"," Irvine Medical Center,University of California"
"NCT00015548",3," California"," Los Angeles","University of Southern California Dept of Psychiatry& Behavioral Sciences"
"NCT00015548",4," California"," Los Angeles"," VA Medical Center, Los Angeles,University of California"
"NCT00015548",5," California"," San Diego"," VA Medical Center,University of California-San Diego"
"NCT00015548",6," California"," Stanford","Stanford University School of Medicine"
"NCT00015548",7," Connecticut"," New Haven","Yale University School of Medicine"
"NCT00015548",8," Florida"," Boca Raton"," Inc.,Mental Health Advocates"
"NCT00015548",9," Florida"," Hialeah","Berma Research Group"
"NCT00015548",10," Florida"," Tampa","University of South Florida Suncoast Gerontology Center"
"NCT00015548",11," Florida"," West Palm Beach","Palm Beach Neurology/Premiere Research Institute"
"NCT00015548",12," Georgia"," Atlanta","Emory University - Wesley Woods Health Center"
"NCT00015548",13," Hawaii"," Honolulu","University of Hawaii"
"NCT00015548",14," Illinois"," Chicago","Northwestern University Medical School"
"NCT00015548",15," Illinois"," Springfield","Southern Illinois School of Medicine"
"NCT00015548",16," Iowa"," Iowa City","University of Iowa College of Medicine"
"NCT00015548",17," Louisiana"," Shreveport","Louisiana State University Health Sciences Center"
"NCT00015548",18," Maryland"," Baltimore","Johns Hopkins University"
"NCT00015548",19," Missouri"," St. Louis","Millennium Psychiatric Associates"
"NCT00015548",20," New Jersey"," Piscataway","University of Medicine and Dentistry of New Jersey"
"NCT00015548",21," New Jersey"," Stratford","University of Medicine and Dentistry of New Jersey-Stratford"
"NCT00015548",22," New York"," New York","Mount Sinai School of Medicine"
"NCT00015548",23," New York"," New York","Columbia University"
"NCT00015548",24," New York"," Olean","Global Research and Consulting"
"NCT00015548",25," New York"," Rochester","Monroe Community Hospital"
"NCT00015548",26," New York"," Staten Island","Staten Island University Hospital"
"NCT00015548",27," North Carolina"," Durham","Duke University Medical Center"
"NCT00015548",28," North Carolina"," Winston Salem","Wake Forest University School of Medicine"
"NCT00015548",29," Ohio"," Willoughby","University Hospital Health Systems-Laurelwood Hospital"
"NCT00015548",30," Pennsylvania"," Coatesville","VA Medical Center"
"NCT00015548",31," Pennsylvania"," Philadelphia","Mental Illness Research Education and Clinical Center"
"NCT00015548",32," South Carolina"," North Charleston","Medical University of South Carolina"
"NCT00015548",33," Texas"," Dallas","University of Texas Southwestern Medical Center"
"NCT00015548",34," Vermont"," Bennington","Southwestern Vermont Medical Center- The Memory Clinic"
"NCT00017940",1," California"," La Jolla"," ADRC, San Diego,University of California"
"NCT00018278",1," California"," San Diego","Department of Veterans Affairs"
"NCT00018291",1," California"," Menlo Park","Palo Alto VA Health Care System"
"NCT00018343",1," Washington"," Lakewood","VA Puget Sound Health Care System"
"NCT00018382",1," Washington"," Seattle","VA Puget Sound Health Care System"
"NCT00018473",1," Massachusetts"," Bedford","VAMC- Bedford (Station 518)"
"NCT00021723",1," Arizona"," Peoria","Pivotal Research Centers"
"NCT00021723",2," Arizona"," Phoenix","21st Century Neurology"
"NCT00021723",3," California"," Beverly Hills","California Clinical Trials"
"NCT00021723",4," California"," La Jolla","UCSD Medical Center"
"NCT00021723",5," California"," Northridge","Pharmacology Research Institute"
"NCT00021723",6," Florida"," Bay Harbor Islands","Baumel-Eisner Neuromedical Institute"
"NCT00021723",7," Florida"," Boca Raton","Baumel-Eisner Neuromedical Institute"
