"Rank","NCT Number","Title","Acronym","Recruitment","Study Results","Conditions","Interventions","Outcome Measures","Sponsor/Collaborators","Gender","Age","Phases","Enrollment","Funded Bys","Study Type","Study Designs","Other IDs","Start Date","Primary Completion Date","Completion Date","Last Verified","First Submitted","First Posted","Results First Submitted","Results First Posted","Last Update Submitted","Last Update Posted","Locations","URL"
278,"NCT02686190","Effects of Light-therapy in Alzheimer's Disease","ALZ-Light","Completed","No Results Available","Alzheimer's Disease","Other: Luxtherapy","score agitation / aggression scale NPI-nurse|score agitation-aggression scale NPI-nurse","Assistance Publique - Hôpitaux de Paris","All","60 Years and older   (Adult, Senior)","","91","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","P081119|IDRCB","July 2012","April 2014","December 2014","February 2016","February 15, 2016","February 19, 2016","null","null","March 16, 2016","March 17, 2016","Hôpital Charles Foix, Ivry-sur-Seine, France","https://ClinicalTrials.gov/show/NCT02686190"
279,"NCT00580931","Safety Study of Nicotinamide to Treat Alzheimer's Disease","null","Completed","No Results Available","Alzheimer's Disease","Drug: Nicotinamide|Drug: Enduramide placebo","Alzheimer's Disease Assessment Scale-Cognitive Subscale","University of California, Irvine|Alzheimer's Association","All","50 Years to 95 Years   (Adult, Senior)","Phase 1|Phase 2","50","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Treatment","IIRG-07-61197","January 2008","July 2014","July 2014","January 2017","December 24, 2007","December 27, 2007","null","null","January 23, 2017","January 25, 2017","UC Irvine School of Medicine, Irvine, California, United States","https://ClinicalTrials.gov/show/NCT00580931"
280,"NCT00018382","Insulin, Neurogenetics and Memory in Alzheimer's Disease","null","Completed","No Results Available","Alzheimer Disease","Drug: rosiglitazone","","VA Office of Research and Development","All","55 Years to 80 Years   (Adult, Senior)","Phase 2","null","U.S. Fed","Interventional","Allocation: Randomized|Masking: Double|Primary Purpose: Treatment","AGCG-012-98S","October 1999","null","March 2003","December 2004","July 3, 2001","July 5, 2001","null","null","January 20, 2009","January 21, 2009","VA Puget Sound Health Care System, Seattle, Washington, United States","https://ClinicalTrials.gov/show/NCT00018382"
281,"NCT00013923","Effectiveness of A Nutritional Brain Metabolic Enhancer for Alzheimer Disease","null","Completed","No Results Available","Alzheimer Disease","Drug: Nutritional Supplement","","National Institute on Aging (NIA)|Burke Medical Research Institute","All","50 Years and older   (Adult, Senior)","Phase 2","40","NIH|Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Double|Primary Purpose: Treatment","IA0027","null","June 2005","June 2005","August 2003","April 2, 2001","April 3, 2001","null","null","December 10, 2009","December 11, 2009","Burke Medical Research Institute, White Plains, New York, United States","https://ClinicalTrials.gov/show/NCT00013923"
282,"NCT02811653","Motor Slowing and Its Lesion-related Correlates in Alzheimer's Disease","TAMA","Recruiting","No Results Available","Alzheimer Disease","Device: Brain MRI|Other: neuropsychological evaluation|Biological: Blood","median SRT (simple reaction time) to a stimulus (in milliseconds)","Centre Hospitalier Universitaire, Amiens","All","40 Years to 85 Years   (Adult, Senior)","","155","Other","Interventional","Allocation: Non-Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Basic Science","PI2015_843_0003","December 2015","December 2019","December 2019","June 2016","June 16, 2016","June 23, 2016","null","null","June 22, 2016","June 23, 2016","CHU Amiens, Amiens, France","https://ClinicalTrials.gov/show/NCT02811653"
283,"NCT00018278","Electrophysiologic Measures of Treatment Response in Alzheimer Disease","null","Completed","No Results Available","Alzheimer Disease","Drug: Aricept|Drug: Exelon|Drug: Nicoderm Patch","","VA Office of Research and Development","All","55 Years to 85 Years   (Adult, Senior)","Phase 4","null","U.S. Fed","Interventional","Allocation: Non-Randomized|Intervention Model: Crossover Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","AGCG-004-98S","October 1998","null","September 2001","December 2004","July 3, 2001","July 5, 2001","null","null","January 20, 2009","January 21, 2009","Department of Veterans Affairs, San Diego, California, United States","https://ClinicalTrials.gov/show/NCT00018278"
284,"NCT01231295","Isotopic Imaging for Prodromal Alzheimer's Disease","ISALP","Completed","No Results Available","Alzheimer Disease","","The difference between AUCs for PET and SPECT imaging","Centre Hospitalier Universitaire de Nīmes","All","70 Years and older   (Senior)","","143","Other","Observational","Observational Model: Cohort|Time Perspective: Prospective","PHRC-N/2009/POK-01|2009-013476-53","February 2011","September 2016","September 2016","January 2017","October 29, 2010","November 1, 2010","null","null","January 31, 2017","February 1, 2017","CHU d'Amiens - Hôpital Sud, Amiens Cedex 1, France|CHU d'Angers - Hôtel-Dieu, Angers, France|CHU de Besançon - Hôpital Jean Minjoz, Besançon, France|CHU de Bordeaux - Groupe Hospitalier Pellegrin, Bordeaux, France|APHP - Hôpital Albert Chenevier, Creteil Cedex, France|APHP - Hôpital Charles Foix, Ivry Sur Seine Cedex, France|CHRU de Lille - Hôpital Claude Huriez, Lille, France|CHRU de Lille - Hôpital Roger Salengro, Lille, France|APHP - Hôpital Emile Roux, Limeil Brevannes Cedex, France|APHM - Hôpital La Timone Adultes, Marseille cedex 5, France|CHU de Montpellier - Hôpital Gui de Chauliac, Montpellier Cedex 5, France|CHU de Nancy - Hôpital Central, Nancy, France|CHU de Nice - Hôpitaux L'Archet 1 et 2, Nice, France|CHU de Nîmes - Hôpital Universitaire Carémeau, Nîmes Cedex 09, France|APHP - Groupe Hospitalier Pitié-Salpetrière, Paris cedex 13, France|APHP - Hôpital Lariboisière, Paris, France|APHP - Hôpital Broca, Paris, France|Groupe Hospitalier Paris Saint-Joseph, Paris, France|CHU de Poitiers, Poitiers, France|CHU de Reims - Hôpital Maison Blanche, Reims, France|CHU de Rouen - Hôpital Charles Nicolle, Rouen, France|CHRU de Strasbourg - Hôpital de Hautepierre, Strasbourg, France|CHRU de Toulouse - Hôpital Garonne, Toulouse cedex 9, France|CHRU de Toulouse - Hôpital Purpan, Toulouse Cedex 9, France|CHRU de Tours - Hôpital Bretonneau, Tours, France","https://ClinicalTrials.gov/show/NCT01231295"
285,"NCT02240693","Alzheimer Disease Proof of Concept Study With BI 409306 Versus Placebo","null","Active, not recruiting","No Results Available","Alzheimer Disease","Drug: BI 409306|Drug: Placebo","The primary endpoint is Neuropsychological Test Battery (NTB) response, defined as change from baseline in total z-score after 12-week treatment.|Change from baseline in ADCS-MCI-ADL (Alzheimer's Disease Cooperative Study/Activities of Daily Living scale adapted for MCI patients) total score after 12-week treatment.|Change from baseline CDR-SB (Clinical Dementia Rating, Sum of Boxes) after 12- week treatment|Change from baseline in ADAS-Cog11 (Alzheimers Disease Assessment Scale-cognitive subscale) total score after 12-week treatment.","Boehringer Ingelheim","All","55 Years and older   (Adult, Senior)","Phase 2","105","Industry","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Double|Primary Purpose: Treatment","1289.5|2013-005031-24","January 15, 2015","September 11, 2017","October 9, 2017","July 2017","September 15, 2014","September 16, 2014","null","null","July 25, 2017","July 26, 2017","Orange County Neuropsychiatric Research Center LLC, Orange, California, United States|California Neuroscience Research, Sherman Oaks, California, United States|Premiere Research Institute, West Palm Beach, Florida, United States|Memory Enhancement Center of America, Inc., Eatontown, New Jersey, United States|Richmond Behavioral Associates, Staten Island, New York, United States|ANI Neurology, PLLC, dba Alzheimer's Memory Center, Charlotte, North Carolina, United States|Tulsa Clinical Research, LLC, Tulsa, Oklahoma, United States|Landeskrankenhaus Hall, Abt.f. Psychatrie & Psychotherapie A, Hall in Tirol, Austria|Ordination für Psychatrie und Neurologie, Wien, Austria|Brussels-UNIV Brugmann -Horta, Brussel, Belgium|Gent - UNIV UZ Gent, Gent, Belgium|Royal Jubilee Hospital, Victoria, British Columbia, Canada|True North Clinical Research Halifax, Inc., Halifax, Nova Scotia, Canada|True North Clinical Research Kentville, Inc., Kentville, Nova Scotia, Canada|Institut universitaire de geriatrie Sherbrooke, Quebec, Canada|HOP P. Wertheimer, Bron Cedex, France|HOP Chauliac, Montpellier cedex 5, France|HOP Laënnec, Nantes, France|HOP La Pitié Salpêtrière, Paris, France|HOP Jean Bernard, Géria, Poitiers, Poitiers Cedex, France|Praxis Dr. Schumann, Berlin, Germany|emovis GMBH, Berlin, Berlin, Germany|Arzneimittelforschung Leipzig, Leipzig, Germany|ZI für seelische Gesundheit, Mannheim, Germany|Universitätsklinikum Ulm, Ulm, Germany|Praxis Neurologie/Psychiatrie, Westerstede, Germany|A.O. Spedali Civili di Brescia, Brescia, Italy|Osp. S. Giovanni di Dio, Firenze, Italy|Policlinico Gemelli, Roma, Italy|Brain Research Center, Amsterdam, Netherlands|Podlassian Center of Psychogeriatry, Bialystok, Bialystok, Poland|Non-Public Outpat. Clinic 'Dom Sue Ryder', PALLMED Sp. z o.o, Bydgoszcz, Poland|Non-Public Outpatient Clinic 'Synapsa' Pawel Polrola, Kielce, Kielce, Poland|Mental Health Center Biomed, Kielce, Poland|Non-Public Outpatient Clinic Neuro-Kard Ilkowski & Partners, Poznan, Poland|Medical Center Senior, Sopot, Poland|EUROMEDIS Sp. z o.o., Szczecin, Szczecin, Poland|Reg. Specialist Hospital Wroclaw, Research & Develop. Center, Wroclaw, Poland|Hospital Fernando Fonseca, EPE, Amadora, Portugal|CHUC - Centro Hospitalar e Universitário de Coimbra, EPE, Coimbra, Portugal|CHLO, EPE - Hospital Egas Moniz, Lisboa, Portugal|CHLN, EPE - Hospital de Santa Maria, Lisboa, Portugal|Hospital Clínic de Barcelona, Barcelona, Spain|Virgen de la Arrixaca, El Palmar (MURCIA), Spain|Hospital Universitari General de Catalunya, Sant Cugat del Vallès, Spain|Hospital Mútua Terrassa, Terrasa (Barcelona), Spain|Royal United Hospital, Bath, United Kingdom|Derriford Hospital, Plymouth, United Kingdom|Re-Cognition Health, Plymouth, United Kingdom","https://ClinicalTrials.gov/show/NCT02240693"
286,"NCT00658125","Deep Brain Stimulation (DBS) for Alzheimer's Disease","null","Unknown status","No Results Available","Alzheimer Disease","Procedure: Deep Brain Stimulation (Fornix DBS)","memory performance on neuropsychological tests","University Health Network, Toronto","All","40 Years to 80 Years   (Adult, Senior)","Phase 1","6","Other","Interventional","Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","06-0095-B","March 2007","June 2010","June 2010","January 2010","April 9, 2008","April 14, 2008","null","null","April 7, 2010","April 8, 2010","Toronto Western Hospital, Toronto, Ontario, Canada","https://ClinicalTrials.gov/show/NCT00658125"
287,"NCT00477659","Neural Correlates In Mild Alzheimer's Disease","null","Completed","No Results Available","Alzheimer's Disease","Drug: donepezil HCl (Aricept)","Functional magnetic resonance imaging to identify neural correlates of cognitive improvement after 3 months of donepezil HCl in subjects w/ mild AD, using the Functional Hippocampus Connectivity Index (HCI) and Cerebral Blood Flow (CBF) Perfusion|Mini Mental State Exam, Alzheimer's Disease Assess,emt Scale-cognitive subscale, Neuropsychiatric Inventory and Instrumental Activities of Daily Living scales at screen and week 12.","Eisai Inc.|Pfizer","All","50 Years and older   (Adult, Senior)","Phase 4","14","Industry","Interventional","Allocation: Non-Randomized|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","A2501055|E2020-A001-416","July 2007","August 2008","August 2008","May 2009","May 23, 2007","May 24, 2007","null","null","May 6, 2009","October 12, 2017","Pfizer Investigational Site, Milwaukee, Wisconsin, United States","https://ClinicalTrials.gov/show/NCT00477659"
288,"NCT00164749","A Pilot Study of Curcumin and Ginkgo for Treating Alzheimer's Disease","null","Completed","No Results Available","Alzheimer's Disease","Drug: Placebo and ginkgo extract|Drug: Curcumin and ginkgo extract","Change in isoprostane level in plasma|Change in A-beta level in serum|Change in cognitive function (MMSE score)|Change in cholesterol and triglycerides in serum|Change in metals in serum|Level of curcumin in plasma vs. dose","Chinese University of Hong Kong|BUPA Foundation|Kwong Wah Hospital","All","50 Years and older   (Adult, Senior)","Phase 1|Phase 2","36","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Double|Primary Purpose: Treatment","CRE-2003.090-T","October 2004","July 2006","July 2006","April 2008","September 9, 2005","September 14, 2005","null","null","April 25, 2008","April 30, 2008","The Chinese University of Hong Kong, Shatin, Hong Kong","https://ClinicalTrials.gov/show/NCT00164749"
289,"NCT02772523","Control and Intervention Programme on Alzheimer's Disease Risk Factors","ALFAlife","Active, not recruiting","No Results Available","Alzheimer's Disease","Other: Lifestyle recommendations","Change in Short Version of the Minnesota Leisure Time Physical Activity Questionnaire|Change in 14-item mediterranean diet Questionnaire|Change in Lifestyle Activities Questionnaire (LAQ)","Barcelonabeta Brain Research Center, Pasqual Maragall Foundation","All","45 Years to 78 Years   (Adult, Senior)","","409","Other","Interventional","Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Prevention","ALFAlife/BBRC2015","May 2016","May 2018","May 2019","March 2017","May 6, 2016","May 13, 2016","null","null","March 1, 2017","March 3, 2017","Barcelonabeta Brain Research Center, Barcelona, Catalonia, Spain","https://ClinicalTrials.gov/show/NCT02772523"
290,"NCT00004845","A Multicenter Trial of Rofecoxib and Naproxen in Alzheimer's Disease (NSAID Study)","null","Completed","No Results Available","Alzheimer Disease","Drug: Rofecoxib|Drug: Naproxen","","National Institute on Aging (NIA)|Alzheimer's Disease Cooperative Study (ADCS)","All","55 Years and older   (Adult, Senior)","Phase 2|Phase 3","null","NIH|Other","Interventional","Allocation: Randomized|Masking: Double|Primary Purpose: Treatment","IA0021","null","December 2001","December 2001","June 2009","February 28, 2000","February 29, 2000","null","null","December 10, 2009","December 11, 2009","Barrow Neurological Group, Phoenix, Arizona, United States|University of Arizona, Tucson, Tucson, Arizona, United States|University of California Irvine Institute for Brain Aging and Dementia, Irvine, California, United States|University of California, San Diego, La Jolla, California, United States|University of Southern California, Los Angeles, California, United States|University of California, Los Angeles, Los Angeles, California, United States|University of California, Davis, Martinez, California, United States|Yale University, School of Medicine, New Haven, Connecticut, United States|Georgetown University Medical Center, Washington, District of Columbia, United States|Baumel-Eisner Neuromedical Institute, Boca Raton, Boca Raton, Florida, United States|Baumel-Eisner Ft Lauderdale, Ft Lauderdale, Florida, United States|Mayo Clinic Jacksonville, Jacksonville, Florida, United States|Wein Center, Miami Beach, Florida, United States|Baumel-Eisner Neuromedical Institute, MiamiBeach, Miami Beach, Florida, United States|University of South Florida, Tampa, Florida, United States|Premiere Research Institute, West Palm Beach, Florida, United States|Emory University, Atlanta, Georgia, United States|Rush Presbyterian St. Luke's Medical Center, Chicago, Illinois, United States|Indiana University Medical Center, Indianapolis, Indiana, United States|Kansas University, Kansas City, Kansas, United States|University of Kentucky, Lexington, Kentucky, United States|University of Michigan, Ann Arbor, Michigan, United States|University of Minnesota, Minneapolis, Minnesota, United States|Washington University, St. Louis, Missouri, United States|University of Nevada, Las Vegas, Nevada, United States|ClinSearch, Inc, Summit, New Jersey, United States|New York University Medical Center, New York, New York, United States|Columbia University, New York, New York, United States|University of Rochester Medical Center, Rochester, New York, United States|University Hospitals of Cleveland, Cleveland, Ohio, United States|Oregon Health Sciences University, Portland, Oregon, United States|University of Pennsylvania, Philadelphia, Pennsylvania, United States|University of Pittsburgh, Pittsburgh, Pennsylvania, United States|Memorial Hospital of Rhode Island, Providence, Rhode Island, United States|Medical University of South Carolina, North Charleston, South Carolina, United States|Vanderbilt University Medical Center, Nashville, Tennessee, United States|University of Texas, SW Medical Center, Dallas, Texas, United States|Baylor College of Medicine, Houston, Texas, United States|Southwestern Vermont Medical Center, Bennington, Vermont, United States|University of Washington, Seattle, Washington, United States","https://ClinicalTrials.gov/show/NCT00004845"
291,"NCT03121066","Transcranial Magnetic Stimulation for Alzheimer's Disease Treatment","TMSAD","Not yet recruiting","No Results Available","Alzheimer Disease","Device: Active Transcranial Magnetic Stimulation|Device: Sham Transcranial Magnetic Stimulation","Change in Cognitive improvement|Functional capacity changes|Mood changes|Changes in brain connectivity","Universitat Oberta de Catalunya|Consorci Sanitari de Terrassa","All","60 Years to 75 Years   (Adult, Senior)","","45","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Double (Participant, Outcomes Assessor)|Primary Purpose: Treatment","UOCatalunya","June 2017","October 2018","June 2020","April 2017","April 1, 2017","April 19, 2017","null","null","April 19, 2017","April 20, 2017","","https://ClinicalTrials.gov/show/NCT03121066"
292,"NCT01617577","Efficacy and Safety of Filgrastim in Alzheimer's Disease","FFAD","Completed","Has Results","Alzheimer's Disease","Drug: G-CSF; filgrastim|Drug: Placebo","Cognitive Measures Incluing ADAScog, Selected CANTABS Tests (Paired Associate Learning (PAL)and PAL )","University of South Florida","All","55 Years and older   (Adult, Senior)","Phase 1|Phase 2","8","Other","Interventional","Allocation: Randomized|Intervention Model: Crossover Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Treatment","ADDF-GCSF","June 2009","February 2012","February 2012","June 2012","November 8, 2011","June 12, 2012","June 29, 2012","December 27, 2012","November 26, 2012","December 27, 2012","USF/Byrd Alzheimer's Center, Tampa, Florida, United States","https://ClinicalTrials.gov/show/NCT01617577"
293,"NCT03173846","Multiregional rtfMRI Neurofeedback for the Prevention of Alzheimer's Disease (NPAD)","NPAD","Recruiting","No Results Available","Alzheimer Disease","","Change in cognition","Barcelonabeta Brain Research Center, Pasqual Maragall Foundation","All","45 Years to 79 Years   (Adult, Senior)","","100","Other","Observational","Observational Model: Cohort|Time Perspective: Prospective","ALFA-NPAD/BBRC2016","May 5, 2017","October 31, 2018","October 31, 2019","May 2017","May 29, 2017","June 2, 2017","null","null","June 1, 2017","June 2, 2017","Barcelonabeta Brain Research Center, Barcelona, Spain","https://ClinicalTrials.gov/show/NCT03173846"
294,"NCT02529436","Overuse of Antidepressant in Patients With Alzheimer Disease","OVADAD","Completed","No Results Available","Alzheimer Disease","","AD overuse with off label prescriptions, ie no validated indication or excess in prescription duration.|Prevalence of psychotropic coprescription|Prevalence of the neurologic iatrogenic alerts as defined by the French National Authority for Health|Type and severity of dementia (Mini Mental Status, Frontal Assessment Battery, stage of dementia, etiological diagnosis)|Comorbidities|Coprescription, type and number of prescriber(s)|Type and number of help at home (professional and non professional caregivers)|Non-drug therapy in conjunction with anti-depressant medication : yes or no (if yes, please name the therapy)","Assistance Publique - Hôpitaux de Paris","All","70 Years and older   (Senior)","","54","Other","Observational","Time Perspective: Prospective","AD2015","April 2015","September 2015","December 2015","September 2016","July 28, 2015","August 20, 2015","null","null","September 7, 2016","September 8, 2016","Hôpital Bretonneau, Paris, France","https://ClinicalTrials.gov/show/NCT02529436"
295,"NCT00362024","MK0952 in Patients With Mild-to-Moderate Alzheimer's Disease (0952-004)(COMPLETED)","null","Terminated","No Results Available","Alzheimer's Disease","Drug: MK0952|Drug: Comparator: Placebo","","Merck Sharp & Dohme Corp.","All","55 Years and older   (Adult, Senior)","Phase 2","24","Industry","Interventional","Allocation: Randomized|Intervention Model: Crossover Assignment|Masking: Double (Participant, Investigator)|Primary Purpose: Treatment","0952-004|2006_026","November 2006","November 2007","November 2007","May 2016","August 8, 2006","August 9, 2006","null","null","May 13, 2016","May 16, 2016","","https://ClinicalTrials.gov/show/NCT00362024"
296,"NCT03290326","tACS for Amyloid-β Reduction in Alzheimer's Disease","null","Recruiting","No Results Available","Alzheimer Disease","Device: Transcranial Alternating Current Stimulation (tACS)","Incidence of Treatment-Emergent Adverse Events|PET Amyloid burden|EEG gamma-band spectral power|Adas-Cog score","Beth Israel Deaconess Medical Center","All","45 Years and older   (Adult, Senior)","","20","Other","Interventional","Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","2017P000373","November 2017","November 1, 2018","November 1, 2018","October 2017","September 15, 2017","September 21, 2017","null","null","October 23, 2017","October 25, 2017","Beth Israel Deaconess Medical Center, Boston, Massachusetts, United States","https://ClinicalTrials.gov/show/NCT03290326"
297,"NCT00698165","Observational Study on Costs and Caregiver Burden in Alzheimer's Disease","null","Completed","No Results Available","Alzheimer's Disease","","Mini-Mental State Examination (MMSE), Disability Assessment for Dementia Scale (DAD), Neuropsychiatric Inventory Questionnaire (NPI-Q)|Resource Utilization in Dementia (RUD)|Short Form - 12 domains instrument (SF-12)|World Health Organization Quality of Life instrument (WHO-QoL)|Zarit Caregiver Burden Interview (ZBI)|15 domains Quality of Life Index instrument (15D)","AstraZeneca|i3 Innovus","All","Child, Adult, Senior","","2400","Industry","Observational","Observational Model: Case-Only|Time Perspective: Cross-Sectional","EHE 1100","June 2007","null","January 2009","February 2009","June 16, 2008","June 17, 2008","null","null","February 19, 2009","February 20, 2009","Research Site, Northport, Alabama, United States|Research Site, Phoenix, Arizona, United States|Research Site, Brentwood, California, United States|Research Site, Fresno, California, United States|Research Site, LaHabra, California, United States|Research Site, Long Beach, California, United States|Research Site, Denver, Colorado, United States|Research Site, Wetherfield, Connecticut, United States|Research Site, Atlantis, Florida, United States|Research Site, Fort Myers, Florida, United States|Research Site, Miami, Florida, United States|Research Site, Port Charlotte, Florida, United States|Research Site, Tampa, Florida, United States|Research Site, Titusville, Florida, United States|Research Site, Venice, Florida, United States|Research Site, Canton, Georgia, United States|Research Site, Columbus, Georgia, United States|Research Site, Decatur, Georgia, United States|Research Site, Dunwoody, Georgia, United States|Research Site, Snellville, Georgia, United States|Research Site, Belleville, Illinois, United States|Research Site, Ft Wayne, Indiana, United States|Research Site, Shreveport, Louisiana, United States|Research Site, Bethesda, Maryland, United States|Research Site, Prince Frederick, Maryland, United States|Research Site, Pittsfield, Massachusetts, United States|Research Site, Eaton Rapids, Michigan, United States|Research Site, St. Louis, Missouri, United States|Research Site, Eatontown, New Jersey, United States|Research Site, Albany, New York, United States|Research Site, Brooklyn, New York, United States|Research Site, Syracuse, New York, United States|Research Site, Asheboro, North Carolina, United States|Research Site, Charlotte, North Carolina, United States|Research Site, Hickory, North Carolina, United States|Research Site, Winston Salem, North Carolina, United States|Research Site, Canton, Ohio, United States|Research Site, Centerville, Ohio, United States|Research Site, Oklahoma City, Oklahoma, United States|Research Site, East Providence, Rhode Island, United States|Research Site, Beaufort, South Carolina, United States|Research Site, Summerville, South Carolina, United States|Research Site, Port Arthur, Texas, United States|Research Site, Tyler, Texas, United States|Research Site, Witchita Falls, Texas, United States|Research Site, Norfolk, Virginia, United States|Research Site, Gig Harbor, Washington, United States|Research Site, Richland, Washington, United States|Research Site, Cruces, Barakaldo, Spain|Research Site, Alicante, Spain|Research Site, Barcelona, Spain|Research Site, Burgos, Spain|Research Site, Madrid, Spain|Research Site, Seville, Spain|Research Site, Bergsjo, Sweden|Research Site, Bromma, Sweden|Research Site, Jonkoping, Sweden|Research Site, Karlstad, Sweden|Research Site, Kristianstad, Sweden|Research Site, Lomma, Sweden|Research Site, Lund, Sweden|Research Site, Malmo, Sweden|Research Site, Ornskoldsvik, Sweden|Research Site, Stockholm, Sweden|Research Site, Umea, Sweden|Research Site, Uppsala, Sweden|Research Site, Varberg, Sweden|Research Site, Overton, Basingstoke, United Kingdom|Research Site, Eastbourne, East Sussex, United Kingdom|Research Site, Coney Hill, Gloucester, United Kingdom|Research Site, Barnet, Hertfordshire, United Kingdom|Research Site, Wood Green, London, United Kingdom|Research Site, Brighton, United Kingdom|Research Site, Chester, United Kingdom|Research Site, Hove, United Kingdom|Research Site, Ipswich, United Kingdom|Research Site, Norwich, United Kingdom|Research Site, Oxford, United Kingdom|Research Site, Romsey, United Kingdom|Research Site, Salisbury, United Kingdom|Research Site, Stanmore, United Kingdom|Research Site, Uckfield, United Kingdom","https://ClinicalTrials.gov/show/NCT00698165"
298,"NCT02222181","Impact of Pharmacotherapy Management in Patients With Alzheimer's Disease","null","Completed","Has Results","Alzheimer's Disease","Other: Pharmacotherapy Management","Mini-mental State Examination (MMEE)|Clinical Dementia Rating (CDR)|Systolic Blood Pressure|Total Cholesterol|Triglycerides|Glycemia|Diastolic Blood Pressure","Universidade Estadual Paulista Júlio de Mesquita Filho|Fundação de Amparo à Pesquisa do Estado de São Paulo|Coordenação de Aperfeiçoamento de Pessoal de Nível Superior.","All","60 Years and older   (Adult, Senior)","","55","Other","Interventional","Intervention Model: Single Group Assignment|Masking: None (Open Label)","24947914.5.0000.5426","April 2014","February 2016","March 2016","April 2016","August 4, 2014","August 21, 2014","April 3, 2016","May 6, 2016","April 3, 2016","May 6, 2016","Centro de Referência do Idoso de Araraquara - CRIA, Araraquara, São Paulo, Brazil","https://ClinicalTrials.gov/show/NCT02222181"
299,"NCT00684944","Open Label Study of TRx0014 in Alzheimer's Disease","null","Completed","No Results Available","Alzheimer's Disease","Drug: TRx0014","Cognitive ability measured by the Alzheimer's Disease Assessment Scale - cognitive subscale (ADAS-cog) and by the Mini-Mental State Examination (MMSE).|Dementia severity assessed by the Clinical Dementia Rating - sum of the boxes (CDR-sb).|Daily living activities assessed by the Alzheimer's Disease functional Assessment and Change Scale (ADFACS)","TauRx Therapeutics Ltd","All","Child, Adult, Senior","Phase 2","111","Industry","Interventional","Allocation: Non-Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","TRx-014-009","July 2007","December 2010","December 2011","February 2012","May 22, 2008","May 28, 2008","null","null","February 1, 2012","February 2, 2012","","https://ClinicalTrials.gov/show/NCT00684944"
300,"NCT03038334","Magnesium Sulfate for the Improvement of Cognition in Patients With Alzheimer Disease","null","Not yet recruiting","No Results Available","Alzheimer Disease","Dietary Supplement: Magnesium sulfate","Change in amyloid deposit|Cognitive Function","Metabolic Therapy Inc.","All","50 Years and older   (Adult, Senior)","","100","Other","Interventional","Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","PR02TCR011-17","February 20, 2017","August 20, 2019","October 20, 2019","January 2017","January 26, 2017","January 31, 2017","null","null","January 27, 2017","January 31, 2017","","https://ClinicalTrials.gov/show/NCT03038334"
301,"NCT01428362","VI-1121 for the Treatment Alzheimer's Disease","AD-201","Completed","No Results Available","Alzheimer's Disease","Drug: VI-1121|Drug: Placebo","The primary efficacy variable is the change in Alzheimer's Disease Assessment-Cognitive Subscale (ADAS-Cog) score from baseline to Week 12 of each treatment period.|The secondary efficacy endpoint is the mean change in Mini-Mental State Examination (MMSE) score from baseline to Week 12 of each treatment period.|Percentage of subjects who achieve 3-point improvement in ADAS-Cog score from baseline to Week 12 of each treatment period.|Change in Clinician's Interview Based Impression of Change Plus Caregiver's Input (CIBIC-plus) score from baseline to Week 12 of each treatment period|Mean change in Alzheimer's Disease Cooperative Study-Activities of Daily Living (ADCS-ADL) score from baseline to Weeks 4, 8, and 12 of each treatment period","VIVUS, Inc.|Medpace, Inc.","All","60 Years to 85 Years   (Adult, Senior)","Phase 2","61","Industry","Interventional","Allocation: Randomized|Intervention Model: Crossover Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Treatment","AD-201","August 2011","August 2013","August 2013","November 2013","August 31, 2011","September 5, 2011","null","null","November 15, 2013","December 11, 2013","San Francisco, California, United States|Santa Monica, California, United States|Sunrise, Florida, United States|Louisville, Kentucky, United States|Las Vegas, Nevada, United States|Toms River, New Jersey, United States|New Windsor, New York, United States|Durham, North Carolina, United States|Raleigh, North Carolina, United States|Toledo, Ohio, United States|Plano, Texas, United States","https://ClinicalTrials.gov/show/NCT01428362"
